Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF CYBERCITY DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
394,WP,12586/2021,2021,202122032,,,,,,,,
395,WP,30216/2023,2023,202328932,,,,,,,,
396,WP,46196/2022,2022,202225063,,,,,,,,
397,WP,33853/2022,2022,202224782,,,,,,,,
398,WP,3584/2019,2019,201919843,,,,,,,,
399,WP,24082/2005,2005,201515186,,,,,,,,
400,WP,14898/2018,2018,201919208,,,,,,,,
401,AA,61/2009,2010,201516254,,,,,,,,
402,WP,46439/2022,2022,202225068,,,,,,,,
403,WP,26325/2023,2023,202328706,,,,,,,,
404,WP,16934/2017,2017,201718296,,,,,,,,
405,WP,1827/2020,2020,202020368,,,,,,,,
406,WP,6293,2014,201514134,,,,,,,,
407,WP,23959/2019,2019,201920022,,,,,,,,
408,WP,15790/2019,2019,201920043,,,,,,,,
409,WP,37268/2017,2017,201919262,,,,,,,,
410,WP,13939/2021,2021,202122342,,,,,,,,
411,WP,15526/2019,2019,201920158,,,,,,,,
412,WP,28983/2019,2019,202020282,,,,,,,,
413,WP,19632/2021,2021,202122352,,,,,,,,
414,WP,2067/2020,2020,202020389,,,,,,,,
415,WP,46454/2022,2022,202225071,,,,,,,,
416,WP,2377/2021,2021,202222805,,,,,,,,
417,WP,26613/2023,2023,202328729,,,,,,,,
418,WP,28836/2023,2023,202328804,,,,,,,,
419,WP,10791/2020,2020,202021072,,,,,,,,
420,WP,30228/2023,2023,202328934,,,,,,,,
421,WP,45261/2017,2017,201919244,,,,,,,,
422,WP,9242/2018,2018,201919256,,,,,,,,
423,WP,33891/2022,2022,202224783,,,,,,,,
424,WP,26935/2018,2018,201919238,,,,,,,,
425,WP,5089/2020,2020,202020567,,,,,,,,
426,WP,28862/2023,2023,202328836,,,,,,,,
427,WP,26155/2023,2023,202328717,,,,,,,,
428,WP,11313/2023,2023,202328051,,,,,,,,
429,WP,8888/2023,2023,202327955,,,,,,,,
430,CC,170/2014,2014,201516196,,,,,,,,
431,WP,41153/2018,2018,201919266,,,,,,,,
432,WP,8602/2019,2019,201920177,,,,,,,,
433,WP,17648/2020,2020,202021440,,,,,,,,
434,WP,15378/2023,2023,202328299,,,,,,,,
435,WP,4297/2018,2018,201818718,,,,,,,,
436,WP,23579/2018,2018,201919339,,,,,,,,
437,WP,31077/2022,2022,202224724,,,,,,,,
438,WP,18296/2012,2012,201515054,,,,,,,,
439,WP,26898/2018,2018,201919196,,,,,,,,
440,WP,32289/2023,2023,202328980,,,,,,,,
441,WP,3802/2021,2021,202121868,,,,,,,,
442,WP,3246/2020,2020,202020436,,,,,,,,
443,WP,12628/2023,2023,202328137,,,,,,,,
